,total,pde,border
0,0.04909968748688698,0.05425769090652466,0.0019637346267700195
1,0.048358816653490067,0.05343346670269966,0.0020706055220216513
2,0.04793693497776985,0.05295839160680771,0.0021314010955393314
3,0.04766746610403061,0.0526556521654129,0.0021719406358897686
4,0.047477398067712784,0.052443359047174454,0.0022034840658307076
5,0.04733525961637497,0.05228561908006668,0.0022301829885691404
6,0.047225743532180786,0.05216473713517189,0.0022533382289111614
7,0.04714018106460571,0.05207072198390961,0.0022737032268196344
8,0.0470731183886528,0.051997363567352295,0.00229194900020957
9,0.04702083021402359,0.05194039270281792,0.002308629686012864
10,0.04698052629828453,0.05189668387174606,0.002324141561985016
11,0.04695013910531998,0.05186387151479721,0.0023387509863823652
12,0.046927932649850845,0.05184008926153183,0.0023526109289377928
13,0.046912554651498795,0.05182379484176636,0.0023658026475459337
14,0.046902865171432495,0.05181374028325081,0.002378367120400071
15,0.046897921711206436,0.05180890113115311,0.002390329958871007
16,0.04689691960811615,0.051808346062898636,0.0024017051327973604
17,0.0468992181122303,0.05181141570210457,0.002412503119558096
18,0.04690421745181084,0.05181746557354927,0.0024227434769272804
19,0.04691147431731224,0.05182593688368797,0.0024324452970176935
